# Nomina de emisores de valores de la CMF.
# fuente: https://www.cmfchile.cl/institucional/mercados/descargar_consulta?mercado=V&Estado=TO&entidad=RVEMI
# descargado: 2026-09-22
# filas: 1138
rut,dv,nombre,estado
90209000,2,COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,Vigente
90212000,9,CLUB HIPICO DE SANTIAGO S.A.,Vigente
90222000,3,EMPRESAS CMPC S.A.,Vigente
90227000,0,VIÑA CONCHA Y TORO S.A.,Vigente
90249000,0,"BOLSA DE COMERCIO DE SANTIAGO, BOLSA DE VALORES",Vigente
90256000,9,SOCIEDAD HIPODROMO CHILE S.A.,Vigente
90266000,3,ENAEX S.A.,Vigente
90269000,K,INVERSIONES AGRICOLAS Y COMERCIALES S.A.,No Vigente
90274000,7,C.T.I. COMPAÑIA TECNO INDUSTRIAL S.A.,No Vigente
90278000,9,IANSAGRO S.A.,No Vigente
90283000,6,CIA DE GAS DE VALPARAISO S.A.,No Vigente
90286000,2,BRITISH AMERICAN TOBACCO CHILE OPERACIONES S.A.,No Vigente
90299000,3,"COMPAÑIA NACIONAL DE TELEFONOS, TELEFONICA DEL SUR S.A.",No Vigente
90310000,1,EMPRESAS GASCO S.A.,Vigente
90314000,3,CIA MINERA DE CHANARAL Y TALTAL S.A.,No Vigente
90320000,6,COMPAÑIA ELECTRO METALURGICA S.A.,Vigente
90322000,7,LABORATORIO CHILE S. A.,No Vigente
90331000,6,CRISTALERIAS DE CHILE S.A.,Vigente
90379000,8,ACEITES Y ALCOHOLES PATRIA S.A.,No Vigente
90380000,3,S. A. FERIA DE LOS AGRICULTORES,No Vigente
90392000,9,CIA DE GAS DE CONCEPCION S.A.,No Vigente
90408000,4,"HUCKE, INDUSTRIAS ALIMENTICIAS S.A.C.",No Vigente
90412000,6,MINERA VALPARAISO S.A.,Vigente
90413000,1,COMPAÑIA CERVECERIAS UNIDAS S.A.,Vigente
90414000,7,VALPARAISO SPORTING CLUB S.A.,Vigente
90430000,4,COMPAÑIA DE TELECOMUNICACIONES DE CHILE GLOBUS S.A.,No Vigente
90474000,4,FARMO-QUIMICA DEL PACIFICO S.A.,No Vigente
90514000,0,BALNEARIOS EL RECREO S.A. (LIQ),No Vigente
90584000,2,FERIA REGIONAL DE RANCAGUA S.A.,No Vigente
90596000,8,COMPAÑIA MARITIMA CHILENA S.A.,No Vigente
90635000,9,TELEFONICA CHILE S.A.,Vigente
90650000,0,TERMAS Y AGUA DE PANIMAVIDA S.A.,No Vigente
90659000,K,CLUB ESPAÑOL DE VALPARAISO S.A.,No Vigente
90667000,3,LINOS DE CHILE S.A.,No Vigente
90674000,1,INDUSTRIAS VARIAS S.A. EN LIQUIDACION,No Vigente
90679000,9,CIA FABRICA DE PAÑOS BIO BIO S.A.,No Vigente
90680000,4,"SOCIEDAD QUIMICA NACIONAL ""SOQUINA"" S.A.",No Vigente
90681000,K,CENTENARIO S.A.,No Vigente
